month,payer_id,location_id,claims,charge_amount,allowed_amount,net_allowed_after_denial,paid_amount_total
2022-01-31,PY001,LC0001,11,5132.61,5012.41,4144.33,3897.94
2022-01-31,PY001,LC0002,1,598.15,623.82,623.82,592.59
2022-01-31,PY001,LC0003,3,1437.46,1588.22,1588.22,1550.76
2022-01-31,PY001,LC0004,3,2508.27,2676.3199999999997,2676.3199999999997,2588.2200000000003
2022-01-31,PY001,LC0005,8,7866.41,8195.619999999999,8195.619999999999,7850.39
2022-01-31,PY001,LC0006,8,4861.45,4831.099999999999,3666.45,3542.74
2022-01-31,PY001,LC0007,2,1280.59,1231.1,1231.1,1201.98
2022-01-31,PY001,LC0008,6,7308.75,7355.28,7355.28,7149.75
2022-01-31,PY001,LC0009,4,3987.09,4137.35,4137.35,4049.96
2022-01-31,PY001,LC0010,3,1771.3000000000002,1897.99,1897.99,1773.31
2022-01-31,PY001,LC0011,5,3162.42,3018.36,3018.36,2918.46
2022-01-31,PY001,LC0013,4,1375.37,1338.6399999999999,1338.6399999999999,1282.3600000000001
2022-01-31,PY001,LC0014,2,3312.37,3253.49,3253.49,3086.8599999999997
2022-01-31,PY001,LC0015,12,5649.46,5738.12,5473.92,5170.98
2022-01-31,PY001,LC0016,4,3169.41,2938.05,2938.05,2759.67
2022-01-31,PY001,LC0017,3,2129.49,2127.31,2127.31,2051.9300000000003
2022-01-31,PY001,LC0018,12,10806.41,10835.3,9479.58,9027.2
2022-01-31,PY001,LC0019,17,15855.460000000001,15902.039999999999,15902.039999999999,14973.88
2022-01-31,PY001,LC0020,4,1762.74,1875.35,1781.98,1685.2199999999998
2022-01-31,PY001,LC0021,5,2768.7,2859.16,2859.16,2681.77
2022-01-31,PY001,LC0022,2,3159.51,3262.07,3262.07,3003.62
2022-01-31,PY001,LC0023,3,808.16,792.8,502.97,464.8
2022-01-31,PY001,LC0025,11,4910.54,5033.48,4915.48,4662.26
2022-01-31,PY001,LC0026,6,8949.939999999999,8651.55,8651.55,8469.11
2022-01-31,PY001,LC0027,3,911.14,917.9200000000001,917.9200000000001,870.12
2022-01-31,PY001,LC0028,12,7745.49,7529.0,6986.28,6721.57
2022-01-31,PY001,LC0029,3,6912.5599999999995,6069.51,6069.51,5895.15
2022-01-31,PY001,LC0030,3,1791.83,1836.32,1340.4,1295.59
2022-01-31,PY001,LC0031,8,15733.880000000001,16565.94,16565.94,15354.96
2022-01-31,PY001,LC0033,11,11614.84,10953.14,10953.14,10330.730000000001
2022-01-31,PY001,LC0034,1,1157.6,1254.25,1254.25,1168.17
2022-01-31,PY001,LC0035,6,3256.2200000000003,3364.16,3364.16,3189.7400000000002
2022-01-31,PY001,LC0036,6,3936.06,3916.6499999999996,3916.6499999999996,3720.59
2022-01-31,PY001,LC0037,8,6318.7300000000005,6495.37,6495.37,6061.61
2022-01-31,PY001,LC0038,3,1935.44,1986.96,1986.96,1913.7200000000003
2022-01-31,PY001,LC0039,10,7533.59,7244.65,6999.49,6595.63
2022-01-31,PY001,LC0041,10,10322.52,10426.59,9217.75,8557.83
2022-01-31,PY001,LC0042,9,15135.52,15761.859999999999,15761.859999999999,14531.039999999997
2022-01-31,PY001,LC0043,11,6833.99,6935.02,6935.02,6594.73
2022-01-31,PY001,LC0046,8,4027.04,4132.24,4132.24,3963.17
2022-01-31,PY001,LC0047,8,8505.76,8530.71,8530.71,8289.7
2022-01-31,PY001,LC0048,2,859.94,944.0600000000001,944.0600000000001,916.9200000000001
2022-01-31,PY001,LC0049,12,9616.240000000002,9352.98,9352.98,8879.17
2022-01-31,PY001,LC0052,11,10782.92,10424.58,10424.58,9834.08
2022-01-31,PY002,LC0001,6,2394.8,2461.36,2461.36,2337.18
2022-01-31,PY002,LC0003,5,3470.9900000000002,3341.98,3341.98,3207.5699999999997
2022-01-31,PY002,LC0005,16,10395.09,10046.18,9655.32,9218.43
2022-01-31,PY002,LC0006,4,1542.9,1498.12,1498.12,1410.0
2022-01-31,PY002,LC0007,2,401.09,398.15,398.15,387.25
2022-01-31,PY002,LC0008,3,2933.97,3246.34,2093.37,2045.11
2022-01-31,PY002,LC0009,7,3578.38,3457.9500000000003,3457.9500000000003,3273.7000000000003
2022-01-31,PY002,LC0010,3,1139.85,1212.57,1212.57,1182.65
2022-01-31,PY002,LC0011,5,3985.65,4291.04,4291.04,4083.09
2022-01-31,PY002,LC0013,1,251.92,259.28,259.28,240.68
2022-01-31,PY002,LC0015,7,4720.21,4470.51,4237.75,3975.8
2022-01-31,PY002,LC0016,3,2419.69,2223.02,2223.02,2159.66
2022-01-31,PY002,LC0017,3,1973.6599999999999,2093.9,2093.9,1928.23
2022-01-31,PY002,LC0018,14,17583.28,17462.86,14892.02,14344.75
2022-01-31,PY002,LC0019,15,13395.55,13317.779999999999,13317.779999999999,12722.37
2022-01-31,PY002,LC0020,1,733.33,721.93,721.93,654.61
2022-01-31,PY002,LC0021,6,8049.409999999999,8513.62,8124.819999999999,7742.79
2022-01-31,PY002,LC0022,9,5533.35,5356.01,5163.83,4826.28
2022-01-31,PY002,LC0023,1,550.2,623.07,623.07,579.26
2022-01-31,PY002,LC0024,1,1763.61,1951.08,1951.08,1888.81
2022-01-31,PY002,LC0025,2,1515.3200000000002,1611.75,1611.75,1541.96
2022-01-31,PY002,LC0026,5,3291.16,3390.6800000000003,3390.6800000000003,3212.92
2022-01-31,PY002,LC0027,7,2593.34,2630.33,2630.33,2498.63
2022-01-31,PY002,LC0028,18,14561.630000000001,14918.94,14562.58,13799.75
2022-01-31,PY002,LC0029,1,567.09,544.08,544.08,504.37
2022-01-31,PY002,LC0030,2,888.23,829.13,726.22,678.53
2022-01-31,PY002,LC0031,11,13036.460000000001,13276.28,13276.28,12428.619999999999
2022-01-31,PY002,LC0032,4,3878.4700000000003,4253.04,4253.04,4127.68
2022-01-31,PY002,LC0033,6,5075.21,4855.78,4855.78,4655.81
2022-01-31,PY002,LC0034,2,3063.28,3062.21,2012.04,1934.73
2022-01-31,PY002,LC0035,3,1202.57,1244.88,1244.88,1181.6200000000001
2022-01-31,PY002,LC0036,6,4151.0599999999995,3949.5,3949.5,3839.44
2022-01-31,PY002,LC0037,6,5457.5599999999995,5593.0,5176.42,4906.43
2022-01-31,PY002,LC0038,2,1178.95,1068.04,1068.04,1042.6100000000001
2022-01-31,PY002,LC0039,7,7513.799999999999,7541.84,7541.84,7075.1900000000005
2022-01-31,PY002,LC0041,5,2359.3,2269.17,2269.17,2117.13
2022-01-31,PY002,LC0042,13,7682.23,7402.13,7402.13,6956.38
2022-01-31,PY002,LC0043,10,7554.820000000001,7353.2,7060.2,6742.91
2022-01-31,PY002,LC0044,1,1663.29,1879.4,1879.4,1867.57
2022-01-31,PY002,LC0046,12,8772.24,8759.59,8355.630000000001,7869.33
2022-01-31,PY002,LC0047,13,6128.71,6532.49,6351.48,6009.05
2022-01-31,PY002,LC0048,1,50.11,49.68,49.68,49.3
2022-01-31,PY002,LC0049,15,7723.139999999999,7582.97,6329.45,5924.29
2022-01-31,PY002,LC0050,1,733.03,681.4,681.4,643.34
2022-01-31,PY002,LC0052,5,3037.1099999999997,2988.99,2988.99,2834.9
2022-01-31,PY003,LC0001,8,6927.18,6827.37,6198.700000000001,5844.610000000001
2022-01-31,PY003,LC0002,1,193.12,219.68,219.68,206.23
2022-01-31,PY003,LC0003,3,1174.42,1116.4,896.61,852.9499999999999
2022-01-31,PY003,LC0004,6,6385.08,6372.78,6372.78,5981.96
2022-01-31,PY003,LC0005,7,8094.650000000001,8246.75,8028.75,7694.49
2022-01-31,PY003,LC0006,8,4764.16,4833.03,4231.54,4058.7200000000003
2022-01-31,PY003,LC0007,2,949.9,1029.23,1029.23,945.0999999999999
2022-01-31,PY003,LC0008,2,1508.03,1530.4499999999998,1530.4499999999998,1494.9499999999998
2022-01-31,PY003,LC0009,7,5181.21,5220.04,4503.9,4339.7
2022-01-31,PY003,LC0010,2,604.3299999999999,655.94,598.2600000000001,584.06
2022-01-31,PY003,LC0011,3,1683.1299999999999,1656.8899999999999,1300.54,1228.24
2022-01-31,PY003,LC0013,2,1446.33,1316.79,1316.79,1267.69
2022-01-31,PY003,LC0014,1,355.98,345.55,345.55,321.95
2022-01-31,PY003,LC0015,10,12628.689999999999,12847.54,10017.220000000001,9240.89
2022-01-31,PY003,LC0016,1,558.23,527.74,527.74,493.22
2022-01-31,PY003,LC0017,5,3360.0899999999997,3172.36,3172.36,2988.4300000000003
2022-01-31,PY003,LC0018,10,8607.27,8357.79,8357.79,7708.13
2022-01-31,PY003,LC0019,16,19373.96,19185.86,18803.69,17586.29
2022-01-31,PY003,LC0020,2,693.78,668.18,668.18,637.87
2022-01-31,PY003,LC0021,6,3304.94,3420.09,3420.09,3254.89
2022-01-31,PY003,LC0022,8,4849.27,4789.41,4789.41,4496.469999999999
2022-01-31,PY003,LC0023,2,455.75,478.39,478.39,456.82000000000005
2022-01-31,PY003,LC0024,1,338.82,369.19,369.19,363.72
2022-01-31,PY003,LC0025,7,4412.46,4464.0599999999995,4403.14,4227.44
2022-01-31,PY003,LC0026,8,4788.82,4812.65,4812.65,4553.74
2022-01-31,PY003,LC0027,5,1775.08,1792.65,1792.65,1712.78
2022-01-31,PY003,LC0028,12,10760.880000000001,10553.88,10553.88,10018.51
2022-01-31,PY003,LC0029,1,1899.27,2057.23,2057.23,1946.02
2022-01-31,PY003,LC0030,3,2991.17,3340.91,3340.91,3067.96
2022-01-31,PY003,LC0031,5,6149.99,6262.33,6262.33,5874.8099999999995
2022-01-31,PY003,LC0032,4,2525.08,2486.91,2486.91,2327.46
2022-01-31,PY003,LC0033,4,3053.49,3376.5,3376.5,3201.89
2022-01-31,PY003,LC0035,8,4404.96,4648.7300000000005,4648.7300000000005,4348.16
2022-01-31,PY003,LC0036,8,5333.44,5567.29,5567.29,5317.96
2022-01-31,PY003,LC0037,6,6593.99,6210.49,6210.49,5927.11
2022-01-31,PY003,LC0038,4,2963.04,3168.4999999999995,3168.4999999999995,3031.1899999999996
2022-01-31,PY003,LC0039,4,5310.69,4817.93,4817.93,4591.42
2022-01-31,PY003,LC0041,2,1526.62,1622.27,1622.27,1554.64
2022-01-31,PY003,LC0042,12,10366.359999999999,9975.74,9975.74,9342.61
2022-01-31,PY003,LC0043,10,8792.380000000001,8782.59,8104.6900000000005,7692.67
2022-01-31,PY003,LC0045,1,285.91,259.88,259.88,244.36
2022-01-31,PY003,LC0046,8,6847.07,6787.88,6787.88,6356.31
2022-01-31,PY003,LC0047,9,6716.47,6847.37,6847.37,6384.2300000000005
2022-01-31,PY003,LC0048,4,2501.71,2434.73,2354.06,2285.47
2022-01-31,PY003,LC0049,20,17345.01,16496.69,16170.55,15304.12
2022-01-31,PY003,LC0051,2,593.84,522.42,522.42,480.17999999999995
2022-01-31,PY003,LC0052,14,8382.51,8178.25,8178.25,7709.87
2022-01-31,PY004,LC0001,12,12196.09,12393.28,12393.28,11712.18
2022-01-31,PY004,LC0003,6,2024.23,2145.53,2145.53,2056.56
2022-01-31,PY004,LC0004,1,197.49,218.69,218.69,208.44
2022-01-31,PY004,LC0005,14,9287.539999999999,9397.61,9397.61,8896.84
2022-01-31,PY004,LC0006,9,7109.5,7399.740000000001,7399.740000000001,7047.1900000000005
2022-01-31,PY004,LC0007,3,1955.9299999999998,1780.27,1780.27,1652.15
2022-01-31,PY004,LC0008,3,8131.66,8409.01,8409.01,8068.790000000001
2022-01-31,PY004,LC0009,11,10395.300000000001,10337.65,10337.65,9758.95
2022-01-31,PY004,LC0010,5,2014.65,1975.81,1975.81,1883.83
2022-01-31,PY004,LC0011,5,1664.76,1723.04,1723.04,1671.44
2022-01-31,PY004,LC0013,1,493.19,499.64,499.64,468.1
2022-01-31,PY004,LC0015,12,12843.21,12872.06,12433.24,11594.97
2022-01-31,PY004,LC0016,2,686.38,659.47,659.47,617.25
