month,payer_id,location_id,claims,denied_claims,denied_amount,allowed_amount,denial_reason_id
2022-01-31,PY001,LC0001,11,2,616.86,5012.41,DR006
2022-01-31,PY001,LC0002,1,0,0.0,623.82,
2022-01-31,PY001,LC0003,3,0,0.0,1588.22,
2022-01-31,PY001,LC0004,3,0,0.0,2676.3199999999997,
2022-01-31,PY001,LC0005,8,0,0.0,8195.619999999999,
2022-01-31,PY001,LC0006,8,1,787.51,4831.099999999999,DR018
2022-01-31,PY001,LC0007,2,0,0.0,1231.1,
2022-01-31,PY001,LC0008,6,0,0.0,7355.28,
2022-01-31,PY001,LC0009,4,0,0.0,4137.35,
2022-01-31,PY001,LC0010,3,0,0.0,1897.99,
2022-01-31,PY001,LC0011,5,0,0.0,3018.36,
2022-01-31,PY001,LC0013,4,0,0.0,1338.64,
2022-01-31,PY001,LC0014,2,0,0.0,3253.49,
2022-01-31,PY001,LC0015,12,1,118.0,5738.12,DR012
2022-01-31,PY001,LC0016,4,0,0.0,2938.05,
2022-01-31,PY001,LC0017,3,0,0.0,2127.31,
2022-01-31,PY001,LC0018,12,2,826.0300000000001,10835.3,DR005
2022-01-31,PY001,LC0019,17,0,0.0,15902.04,
2022-01-31,PY001,LC0020,4,1,84.64,1875.35,DR005
2022-01-31,PY001,LC0021,5,0,0.0,2859.16,
2022-01-31,PY001,LC0022,2,0,0.0,3262.07,
2022-01-31,PY001,LC0023,3,1,260.54,792.8,DR006
2022-01-31,PY001,LC0025,11,1,125.18,5033.48,DR020
2022-01-31,PY001,LC0026,6,0,0.0,8651.55,
2022-01-31,PY001,LC0027,3,0,0.0,917.92,
2022-01-31,PY001,LC0028,12,1,513.34,7529.0,DR013
2022-01-31,PY001,LC0029,3,0,0.0,6069.51,
2022-01-31,PY001,LC0030,3,1,223.08,1836.32,DR012
2022-01-31,PY001,LC0031,8,0,0.0,16565.94,
2022-01-31,PY001,LC0033,11,0,0.0,10953.14,
2022-01-31,PY001,LC0034,1,0,0.0,1254.25,
2022-01-31,PY001,LC0035,6,0,0.0,3364.16,
2022-01-31,PY001,LC0036,6,0,0.0,3916.65,
2022-01-31,PY001,LC0037,8,0,0.0,6495.37,
2022-01-31,PY001,LC0038,3,0,0.0,1986.96,
2022-01-31,PY001,LC0039,10,1,401.51,7244.65,DR024
2022-01-31,PY001,LC0041,10,1,697.0,10426.59,DR002
2022-01-31,PY001,LC0042,9,0,0.0,15761.86,
2022-01-31,PY001,LC0043,11,0,0.0,6935.02,
2022-01-31,PY001,LC0046,8,0,0.0,4132.24,
2022-01-31,PY001,LC0047,8,0,0.0,8530.71,
2022-01-31,PY001,LC0048,2,0,0.0,944.06,
2022-01-31,PY001,LC0049,12,0,0.0,9352.98,
2022-01-31,PY001,LC0052,11,0,0.0,10424.58,
2022-01-31,PY002,LC0001,6,0,0.0,2461.36,
2022-01-31,PY002,LC0003,5,0,0.0,3341.98,
2022-01-31,PY002,LC0005,16,2,438.22,10046.18,DR007
2022-01-31,PY002,LC0006,4,0,0.0,1498.12,
2022-01-31,PY002,LC0007,2,0,0.0,398.15,
2022-01-31,PY002,LC0008,3,1,424.87,3246.34,DR005
2022-01-31,PY002,LC0009,7,0,0.0,3457.9500000000003,
2022-01-31,PY002,LC0010,3,0,0.0,1212.57,
2022-01-31,PY002,LC0011,5,0,0.0,4291.04,
2022-01-31,PY002,LC0013,1,0,0.0,259.28,
2022-01-31,PY002,LC0015,7,1,318.3,4470.51,DR023
2022-01-31,PY002,LC0016,3,0,0.0,2223.02,
2022-01-31,PY002,LC0017,3,0,0.0,2093.9,
2022-01-31,PY002,LC0018,14,1,3448.31,17462.86,DR012
2022-01-31,PY002,LC0019,15,0,0.0,13317.78,
2022-01-31,PY002,LC0020,1,0,0.0,721.93,
2022-01-31,PY002,LC0021,6,1,458.13,8513.62,DR008
2022-01-31,PY002,LC0022,9,1,200.92,5356.01,DR012
2022-01-31,PY002,LC0023,1,0,0.0,623.07,
2022-01-31,PY002,LC0024,1,0,0.0,1951.08,
2022-01-31,PY002,LC0025,2,0,0.0,1611.75,
2022-01-31,PY002,LC0026,5,0,0.0,3390.6800000000003,
2022-01-31,PY002,LC0027,7,0,0.0,2630.33,
2022-01-31,PY002,LC0028,18,1,239.83,14918.94,DR020
2022-01-31,PY002,LC0029,1,0,0.0,544.08,
2022-01-31,PY002,LC0030,2,1,152.0,829.13,DR005
2022-01-31,PY002,LC0031,11,0,0.0,13276.28,
2022-01-31,PY002,LC0032,4,0,0.0,4253.04,
2022-01-31,PY002,LC0033,6,0,0.0,4855.78,
2022-01-31,PY002,LC0034,2,1,1409.05,3062.21,DR003
2022-01-31,PY002,LC0035,3,0,0.0,1244.88,
2022-01-31,PY002,LC0036,6,0,0.0,3949.5,
2022-01-31,PY002,LC0037,6,1,586.48,5593.0,DR020
2022-01-31,PY002,LC0038,2,0,0.0,1068.04,
2022-01-31,PY002,LC0039,7,0,0.0,7541.84,
2022-01-31,PY002,LC0041,5,0,0.0,2269.17,
2022-01-31,PY002,LC0042,13,0,0.0,7402.13,
2022-01-31,PY002,LC0043,10,1,709.55,7353.2,DR010
2022-01-31,PY002,LC0044,1,0,0.0,1879.4,
